Wavelength (nm);% Transmission
1076;0.0046
1077;0.00324
1078;0.00237
1079;0.00182
1080;0.00147
1081;0.00124
1082;0.00108
1083;0.00096
1084;0.00088
1085;0.00082
1086;0.00077
1087;0.00074
1088;0.00071
1089;0.00069
1090;0.00067
1091;0.00066
1092;0.00066
1093;0.00066
1094;0.00066
1095;0.00066
1096;0.00067
1097;0.00069
1098;0.00071
1099;0.00073
1100;0.00077
1101;0.00081
1102;0.00087
1103;0.00094
1104;0.00102
1105;0.00113
1106;0.00126
1107;0.00142
1108;0.00161
1109;0.00185
1110;0.00211
1111;0.0024
1112;0.00268
1113;0.00291
1114;0.00304
1115;0.00303
1116;0.00289
1117;0.00267
1118;0.0024
1119;0.00213
1120;0.00188
1121;0.00167
1122;0.00149
1123;0.00135
1124;0.00123
1125;0.00113
1126;0.00106
1127;0.001
1128;0.00096
1129;0.00092
1130;0.0009
1131;0.00089
1132;0.00089
1133;0.00089
1134;0.0009
1135;0.00092
1136;0.00095
1137;0.00098
1138;0.00103
1139;0.00108
1140;0.00113
1141;0.0012
1142;0.00127
1143;0.00135
1144;0.00144
1145;0.00153
1146;0.00163
1147;0.00174
1148;0.00185
1149;0.00196
1150;0.00207
1151;0.00219
1152;0.00231
1153;0.00243
1154;0.00256
1155;0.00269
1156;0.00284
1157;0.00299
1158;0.00316
1159;0.00335
1160;0.00355
1161;0.00378
1162;0.00403
1163;0.0043
1164;0.0046
1165;0.00491
1166;0.00524
1167;0.00557
1168;0.00589
1169;0.00617
1170;0.00641
1171;0.00657
1172;0.00666
1173;0.00666
1174;0.00658
1175;0.00642
1176;0.00622
1177;0.00599
1178;0.00574
1179;0.00549
1180;0.00525
1181;0.00503
1182;0.00483
1183;0.00466
1184;0.00451
1185;0.0044
1186;0.00431
1187;0.00425
1188;0.00422
1189;0.00422
1190;0.00424
1191;0.0043
1192;0.00438
1193;0.00449
1194;0.00463
1195;0.00481
1196;0.00503
1197;0.00529
1198;0.00559
1199;0.00595
1200;0.00636
