? (nm);T (%);? (nm);OD
307.8;2.8035E-10;307.8;11.5523
308;7.75711E-10;308;11.1103
308.2;1.60916E-10;308.2;11.7934
308.4;8.97222E-11;308.4;12.0471
308.6;8.18465E-11;308.6;12.087
308.8;1.0792E-10;308.8;11.9669
309;2.08785E-10;309;11.6803
309.2;6.20297E-10;309.2;11.2074
309.4;1.47401E-09;309.4;10.8315
309.6;1.10459E-09;309.6;10.9568
309.8;1.12928E-09;309.8;10.9472
310;2.68287E-09;310;10.5714
310.2;1.66226E-08;310.2;9.7793
310.4;3.24489E-09;310.4;10.4888
310.6;1.58672E-09;310.6;10.7995
310.8;1.97197E-09;310.8;10.7051
311;6.77174E-09;311;10.1693
311.2;3.05633E-08;311.2;9.5148
311.4;7.90497E-09;311.4;10.1021
311.6;1.01135E-08;311.6;9.9951
311.8;4.73478E-08;311.8;9.3247
312;6.76239E-09;312;10.1699
312.2;2.80608E-09;312.2;10.5519
312.4;5.58985E-10;312.4;11.2526
312.6;8.96396E-11;312.6;12.0475
312.8;2.40991E-11;312.8;12.618
313;9.98389E-12;313;13.0007
313.2;5.93335E-12;313.2;13.2267
313.4;4.97737E-12;313.4;13.303
313.6;6.14611E-12;313.6;13.2114
313.8;1.31009E-11;313.8;12.8827
314;8.7438E-11;314;12.0583
314.2;6.12209E-11;314.2;12.2131
314.4;1.29479E-11;314.4;12.8878
314.6;6.15744E-12;314.6;13.2106
314.8;3.54324E-12;314.8;13.4506
315;2.11885E-12;315;13.6739
315.2;1.41579E-12;315.2;13.849
315.4;1.01695E-12;315.4;13.9927
315.6;7.87227E-13;315.6;14.1039
315.8;6.65733E-13;315.8;14.1767
316;6.43428E-13;316;14.1915
316.2;7.74462E-13;316.2;14.111
316.4;1.37278E-12;316.4;13.8624
316.6;5.75572E-12;316.6;13.2399
316.8;9.15799E-12;316.8;13.0382
317;1.28529E-12;317;13.891
317.2;5.40381E-13;317.2;14.2673
317.4;3.67536E-13;317.4;14.4347
317.6;2.82293E-13;317.6;14.5493
317.8;1.58891E-13;317.8;14.7989
318;6.80456E-14;318;15.1672
318.2;3.08319E-14;318.2;15.511
318.4;1.65501E-14;318.4;15.7812
318.6;1.05366E-14;318.6;15.9773
318.8;7.82348E-15;318.8;16.1066
319;6.6896E-15;319;16.1746
319.2;6.56296E-15;319.2;16.1829
319.4;7.46277E-15;319.4;16.1271
319.6;1.01625E-14;319.6;15.993
319.8;1.80634E-14;319.8;15.7432
320;5.39014E-14;320;15.2684
320.2;5.56673E-13;320.2;14.2544
320.4;6.80769E-14;320.4;15.167
320.6;1.71159E-14;320.6;15.7666
320.8;8.06306E-15;320.8;16.0935
321;5.14044E-15;321;16.289
321.2;3.98749E-15;321.2;16.3993
321.4;3.59584E-15;321.4;16.4442
321.6;3.68299E-15;321.6;16.4338
321.8;4.23448E-15;321.8;16.3732
322;5.43375E-15;322;16.2649
322.2;7.7732E-15;322.2;16.1094
322.4;1.24222E-14;322.4;15.9058
322.6;2.22895E-14;322.6;15.6519
322.8;4.51648E-14;322.8;15.3452
323;1.03562E-13;323;14.9848
323.2;2.64667E-13;323.2;14.5773
323.4;7.20941E-13;323.4;14.1421
323.6;2.03657E-12;323.6;13.6911
323.8;7.14332E-12;323.8;13.1461
324;7.55614E-11;324;12.1217
324.2;4.38228E-11;324.2;12.3583
324.4;1.00879E-11;324.4;12.9962
324.6;6.31539E-12;324.6;13.1996
324.8;6.54485E-12;324.8;13.1841
325;1.06243E-11;325;12.9737
325.2;3.30217E-11;325.2;12.4812
325.4;6.18443E-10;325.4;11.2087
