Wavelength (nm);P-Polarized;S-Polarized;;;
715;83,69898987;81,22175598;;;
716;83,68913269;81,22861481;;;
717;83,66027832;81,26052856;;;
718;83,63476563;81,2837677;;;
719;83,61332703;81,29878235;;;
720;83,2771759;80,93872833;;;
721;83,17414856;80,90910339;;;
722;83,25109863;80,86287689;;;
723;83,1339035;80,83922577;;;
724;83,1685257;80,80581665;;;
725;83,09188843;80,74906921;;;
726;83,04611206;80,67750549;;;
727;83,06769562;80,616745;;;
728;82,95643616;80,53305054;;;
729;82,93008423;80,47557831;;;
730;82,94869995;80,39599609;;;
731;82,88672638;80,31426239;;;
732;82,83769989;80,20887756;;;
733;82,74267578;80,13395691;;;
734;82,79930115;80,07312775;;;
735;82,742836;79,95194244;;;
736;82,74191284;79,89608002;;;
737;82,65751648;79,8119278;;;
738;82,64943695;79,72707367;;;
739;82,57035065;79,64077759;;;
740;82,60041046;79,60123444;;;
741;82,53662872;79,5327301;;;
742;82,4289093;79,45852661;;;
743;82,31248474;79,41575623;;;
744;82,30146027;79,36591339;;;
745;82,27589417;79,33672333;;;
746;82,11074829;79,27916718;;;
747;82,10243225;79,24920654;;;
748;82,08635712;79,21862793;;;
749;82,08128357;79,2081604;;;
750;81,94538116;79,1912384;;;
751;81,9023819;79,17095184;;;
752;81,77908325;79,15901184;;;
753;81,71677399;79,13708496;;;
754;81,64611816;79,15242004;;;
755;81,6047287;79,16235352;;;
756;81,51152802;79,13213348;;;
757;81,4473114;79,14001465;;;
758;81,40401459;79,12969208;;;
759;81,35222626;79,13941956;;;
760;81,21443176;79,13139343;;;
761;81,13352966;79,11003876;;;
762;81,07026672;79,0978241;;;
763;80,95349884;79,02700043;;;
764;80,87077332;79,03607178;;;
765;80,710495;79,01307678;;;
766;80,66036987;78,95604706;;;
767;80,59215546;78,88751984;;;
768;80,47298431;78,82303619;;;
769;80,37334442;78,76609802;;;
770;80,27227783;78,67185211;;;
771;80,17234802;78,59103394;;;
772;80,10327911;78,49441528;;;
773;79,93288422;78,37215424;;;
774;79,89009094;78,28664398;;;
775;79,78151703;78,16024017;;;
776;79,61753845;78,0409317;;;
777;79,48970795;77,89768982;;;
778;79,45514679;77,73355103;;;
779;79,31099701;77,60196686;;;
780;79,11750793;77,44792938;;;
781;78,99636841;77,30686951;;;
782;78,81408691;77,1164856;;;
783;78,79559326;76,92794037;;;
784;78,68260956;76,76926422;;;
785;78,48724365;76,57989502;;;
786;78,32449341;76,40494537;;;
787;78,23390961;76,23912048;;;
788;78,12605286;76,03547668;;;
789;77,97631836;75,84584808;;;
790;77,78185272;75,6662674;;;
791;77,7124939;75,48911285;;;
792;77,44468689;75,30679321;;;
793;77,29488373;75,11157227;;;
794;77,15830994;74,92163086;;;
795;77,02185059;74,74922943;;;
796;76,89808655;74,57051849;;;
797;76,67220306;74,41220093;;;
798;76,49983215;74,25053406;;;
799;76,37928009;74,08786774;;;
800;76,17029572;73,93968964;;;
801;76,06752777;73,77708435;;;
802;75,85082245;73,61582947;;;
803;75,66041565;73,46950531;;;
804;75,48828125;73,32222748;;;
805;75,4102478;73,18238831;;;
806;75,17527008;73,05432892;;;
807;75,01298523;72,90829468;;;
808;74,83544159;72,77991486;;;
809;74,64476776;72,6450119;;;
810;74,38575745;72,5341568;;;
811;74,23381805;72,38546753;;;
812;74,07879639;72,26321411;;;
813;73,84161377;72,13371277;;;
814;73,66494751;72,01397705;;;
815;73,50106049;71,89070892;;;
816;73,24890137;71,73383331;;;
817;73,09738159;71,60388947;;;
818;72,83642578;71,46438599;;;
819;72,71366882;71,36134338;;;
820;72,44199371;71,19426727;;;
821;72,31289673;71,06269073;;;
822;72,04003143;70,90132904;;;
823;71,84871674;70,76213837;;;
824;71,6652832;70,61771393;;;
825;71,46998596;70,45088959;;;
826;71,22023773;70,25605774;;;
