Wavelength (nm);Optical Density;% Transmission
822;5,901059833;0,000125586
823;5,878774;0,000132198
824;5,855258667;0,000139554
825;5,834242667;0,000146473
826;5,839731833;0,000144633
827;5,8204755;0,00015119
828;5,821635;0,000150787
829;5,804338167;0,000156914
830;5,7990165;0,000158849
831;5,760556333;0,000173558
832;5,692092;0,000203193
833;5,657133833;0,000220225
834;5,602783167;0,000249584
835;5,561127667;0,000274709
836;5,553972833;0,000279272
837;5,5699605;0,000269178
838;5,5868455;0,000258913
839;5,609437833;0,000245789
840;5,641788;0,000228146
841;5,675105;0,000211298
842;5,703433;0,000197955
843;5,712186833;0,000194005
844;5,699518;0,000199748
845;5,688567667;0,000204848
846;5,704695667;0,000197381
847;5,7111815;0,000194455
848;5,696683167;0,000201056
849;5,690869833;0,000203765
850;5,666241667;0,000215654
851;5,638367833;0,000229949
852;5,583135;0,000261135
853;5,540113667;0,000288328
854;5,5149355;0,000305537
855;5,489290833;0,000324122
856;5,500794;0,00031565
857;5,498377833;0,000317411
858;5,505334167;0,000312367
859;5,479115833;0,000331806
860;5,464135;0,000343451
861;5,3831244;0,000413881
862;5,35068275;0,000445982
863;5,4408325;0,000362383
864;5,412526;0,000386789
865;5,453377;0,000352065
866;5,453377;0,000352065
867;6,056284;8,78448E-05
868;6,056284;8,78448E-05
869;6,048856;8,93602E-05
870;6,048856;8,93602E-05
871;5,767291;0,000170887
872;5,767291;0,000170887
873;5,518415667;0,000303099
874;5,4129785;0,000386386
875;5,23982475;0,000575672
876;5,1931338;0,000641012
877;5,3892104;0,000408122
878;5,3892104;0,000408122
879;5,323652;0,000474622
880;5,3280244;0,000469868
881;5,5941966;0,000254568
882;5,6363172;0,000231038
883;5,454078;0,000351497
884;5,397610667;0,000400303
885;5,45543;0,000350405
886;5,4524045;0,000352854
887;5,507507;0,000310809
888;5,538481;0,000289414
889;5,7249175;0,000188401
890;5,724861;0,000188425
891;5,7566974;0,000175107
892;5,92077775;0,000120011
893;5,636573;0,000230902
894;5,662097667;0,000217722
895;5,445309333;0,000358666
896;5,564456667;0,000272611
897;5,6848975;0,000206587
898;5,6051514;0,000248227
899;5,6051514;0,000248227
900;5,5221496;0,000300504
901;5,6425586;0,000227741
902;5,68683;0,00020567
903;5,607105;0,000247113
904;5,5687346;0,000269939
905;5,590435833;0,000256782
906;5,6095665;0,000245716
907;5,592940333;0,000255305
908;5,484513833;0,000327707
909;5,435422833;0,000366925
910;5,4757995;0,000334349
911;5,431171;0,000370535
912;5,50672;0,000311372
913;5,4336396;0,000368435
914;5,4908404;0,000322968
915;5,5187522;0,000302864
916;5,4764954;0,000333814
917;5,538705833;0,000289264
918;5,484293333;0,000327874
919;5,422305333;0,000378177
920;5,395841833;0,000401937
921;5,3764886;0,000420254
922;5,3880886;0,000409177
923;5,27267125;0,000533739
924;5,33527675;0,000462086
925;5,4087255;0,000390189
926;5,436804;0,00036576
927;5,436804;0,00036576
928;5,50099025;0,000315508
929;5,5898348;0,000257137
930;5,5551498;0,000278516
931;5,4938485;0,000320739
932;5,497664;0,000317933
933;5,497664;0,000317933
934;5,49056925;0,00032317
935;5,5839685;0,000260634
936;5,568919;0,000269824
937;5,568919;0,000269824
938;5,57464675;0,000266289
939;5,6503188;0,000223708
940;5,6167542;0,000241683
941;5,6687718;0,000214402
942;5,6525296;0,000222572
943;5,6525296;0,000222572
944;5,7354042;0,000183906
945;5,6810035;0,000208447
946;5,70158075;0,000198801
947;5,5114785;0,000307979
948;5,541065;0,000287697
949;5,6832248;0,000207384
950;5,6038698;0,00024896
951;5,540911;0,000287799
952;5,488706;0,000324559
953;5,387381167;0,000409844
954;5,414599333;0,000384947
955;5,334505167;0,000462908
956;5,327870833;0,000470034
957;5,374905;0,000421789
958;5,424399833;0,000376357
959;5,493524;0,000320979
960;5,481903833;0,000329683
961;5,5138865;0,000306276
962;5,588319167;0,000258036
963;5,675119833;0,000211291
964;5,659619833;0,000218968
