Wavelength (nm);P-Polarized;S-Polarized;;;
909;45,25026321;51,41064453;;;
910;45,17101288;51,31092834;;;
911;45,09297943;51,22447205;;;
912;45,00461578;51,13603973;;;
913;44,92330551;51,05514526;;;
914;44,83869553;50,9754982;;;
915;44,75137329;50,90089798;;;
916;44,68057632;50,82591248;;;
917;44,59594345;50,74903488;;;
918;44,51751709;50,68881989;;;
919;44,42834854;50,62033844;;;
920;44,35516357;50,55523682;;;
921;44,2756691;50,4933548;;;
922;44,18473434;50,42793655;;;
923;44,10900497;50,36308289;;;
924;44,03095245;50,30182648;;;
925;43,95368195;50,24065781;;;
926;43,87505341;50,17336273;;;
927;43,79470062;50,10678101;;;
928;43,7076683;50,03767014;;;
929;43,62407684;49,96482468;;;
930;43,54849625;49,893116;;;
931;43,4679451;49,81330109;;;
932;43,38431168;49,7396965;;;
933;43,30370331;49,65522385;;;
934;43,21719742;49,5721283;;;
935;43,13696671;49,48054886;;;
936;43,05879593;49,40069199;;;
937;42,97082901;49,30537415;;;
938;42,88990402;49,21212387;;;
939;42,80888748;49,12356949;;;
940;42,73356628;49,02767181;;;
941;42,64805222;48,9248848;;;
942;42,56511307;48,83166885;;;
943;42,48429108;48,73630524;;;
944;42,40004349;48,63445282;;;
945;42,31705093;48,5354805;;;
946;42,23682022;48,43863297;;;
947;42,15410995;48,34146118;;;
948;42,07151031;48,24251175;;;
949;41,99567795;48,15636063;;;
950;41,92287064;48,06044388;;;
951;41,84272003;47,9680748;;;
952;41,76805115;47,88840103;;;
953;41,68798828;47,8008194;;;
954;41,60849762;47,71121979;;;
955;41,53110123;47,63314438;;;
956;41,45644379;47,55752945;;;
957;41,38602448;47,48035431;;;
958;41,30681992;47,41479874;;;
959;41,23490906;47,34217072;;;
960;41,16610718;47,27273941;;;
961;41,09407425;47,21068573;;;
962;41,02305984;47,14609146;;;
963;40,95723724;47,08510208;;;
964;40,89374924;47,02760696;;;
965;40,82395554;46,96925735;;;
966;40,75120163;46,90958023;;;
967;40,68467712;46,85091019;;;
968;40,62483978;46,79782104;;;
969;40,55662155;46,73272324;;;
970;40,48944473;46,67154694;;;
971;40,42639923;46,61841583;;;
972;40,35472488;46,55173492;;;
973;40,28910065;46,48992157;;;
974;40,22986984;46,43228531;;;
975;40,16236115;46,36646271;;;
976;40,09971619;46,30268478;;;
977;40,03480911;46,23563004;;;
978;39,96858215;46,17288971;;;
979;39,90196228;46,09932327;;;
980;39,84104156;46,03336716;;;
981;39,77685165;45,96711731;;;
982;39,7102623;45,8953743;;;
983;39,64609909;45,82602692;;;
984;39,58807373;45,76020432;;;
985;39,51824188;45,68790817;;;
986;39,45543671;45,61698151;;;
987;39,39112473;45,5493927;;;
988;39,3300209;45,47555161;;;
989;39,26774597;45,40607834;;;
990;39,20980835;45,34425735;;;
991;39,14562225;45,27614975;;;
992;39,08388519;45,2022934;;;
993;39,02427292;45,14414978;;;
994;38,96607971;45,07712936;;;
995;38,90678787;45,01353836;;;
996;38,85248184;44,95083618;;;
997;38,7890892;44,89192963;;;
998;38,72782516;44,83358002;;;
999;38,67570496;44,77527618;;;
1000;38,62017059;44,72323227;;;
1001;38,56383896;44,66985703;;;
1002;38,51166916;44,61279678;;;
1003;38,45770645;44,56636047;;;
1004;38,40620804;44,52108765;;;
1005;38,35059357;44,46724701;;;
1006;38,30050659;44,42031097;;;
1007;38,24565125;44,37981033;;;
1008;38,19542313;44,33369064;;;
1009;38,14444733;44,29111862;;;
1010;38,09105682;44,25019073;;;
1011;38,0402832;44,21218872;;;
1012;37,9909935;44,1703949;;;
1013;37,93638611;44,12668991;;;
1014;37,8876915;44,08664322;;;
1015;37,84263611;44,04812622;;;
1016;37,79372787;44,00918961;;;
1017;37,74088669;43,96511459;;;
1018;37,69309616;43,92782211;;;
1019;37,64600754;43,8907547;;;
1020;37,59593964;43,84837723;;;
