Wavelength (nm),O777PP,Ha656,Hb486,Hg434,HeI588,NII569,HeI447,ClII479,CII515
1616.8,0.004934724310446935,1.775927810415651e-06,0.01780840582616142,3.477368612757043e-07,5.565984295333785e-08,1.0075586870407052e-08,5.2299944061972484e-08,2.1391376906022436e-08,6.59945910116813e-05
1617.0,0.004935214769224376,1.776645220056684e-06,0.017881320162671896,3.4911702556195496e-07,5.566135957128831e-08,1.0078929950103036e-08,5.249529866745544e-08,2.141476313270132e-08,6.608686012985526e-05
1617.2,0.004934765142781532,1.7752451829550017e-06,0.017963832535035827,3.506434179447165e-07,5.5655267417239986e-08,1.0070802757743668e-08,5.271179438454573e-08,2.1449278767538467e-08,6.614724132921912e-05
1617.4,0.004934313717389888,1.7738453361633228e-06,0.018042463176983388,3.5217371917941386e-07,5.564915511585262e-08,1.0062676928288268e-08,5.292877065822467e-08,2.1483721974167136e-08,6.620727366299913e-05
1617.6,0.004933860492396283,1.7724456801799238e-06,0.018129677422652823,3.537079332455768e-07,5.5643022660886126e-08,1.0054552464522661e-08,5.314622773055554e-08,2.1518092629073427e-08,6.626695731078017e-05
1617.8,0.004933405467147621,1.771046215503038e-06,0.018213011157350946,3.5524606412432567e-07,5.563687004610178e-08,1.0046429369232212e-08,5.336416584360161e-08,2.1552390608684988e-08,6.632629245247551e-05
1618.0,0.004932948640990882,1.7696469426308528e-06,0.01829661989872656,3.5678811579837175e-07,5.5630697265262327e-08,1.0038307645201825e-08,5.358258523942612e-08,2.158661578937106e-08,6.638527926832702e-05
1618.2,0.004931285017859556,1.7677516336191777e-06,0.018389458502044362,3.5835722229174035e-07,5.5630511403959485e-08,1.0030905913559529e-08,5.3807008226030745e-08,2.1626320601978438e-08,6.64585663184315e-05
1618.4,0.004929620781699194,1.7658575225576473e-06,0.018478359711907366,3.59929611084534e-07,5.563030521090008e-08,1.0023503641008165e-08,5.403183033781983e-08,2.166591888840987e-08,6.653136739715974e-05
1618.6,0.0049279559328748905,1.763964609174114e-06,0.01857181335601874,3.615052823386427e-07,5.5630078684232766e-08,1.0016100833333257e-08,5.4257051349431756e-08,2.170541062473744e-08,6.660368325123592e-05
1618.8,0.004926290471751795,1.7620728931963982e-06,0.018661288952692274,3.630842362147049e-07,5.562983182211274e-08,1.0008697496317375e-08,5.448267103550496e-08,2.1744795787076572e-08,6.667551462704894e-05
1619.0,0.004924624398695078,1.7601823743522834e-06,0.01875536043940798,3.64666472872106e-07,5.562956462270164e-08,1.0001293635740132e-08,5.4708689170677795e-08,2.1784074351585922e-08,6.674686227065223e-05
1619.2,0.004922979522210864,1.759648731198107e-06,0.018849340568566526,3.66232226700803e-07,5.561424585787543e-08,9.99884798445147e-09,5.4927266757915954e-08,2.1822769080197224e-08,6.686748625943327e-05
1619.4,0.0049213337257064385,1.759114690686844e-06,0.01894364752729837,3.678013405949391e-07,5.559891486880782e-08,9.996399782257848e-09,5.51462183021699e-08,2.1861366255328682e-08,6.698781741084112e-05
1619.6,0.004919687009907596,1.7585802531085562e-06,0.01903828211757955,3.6937381548636087e-07,5.5583571661575416e-08,9.993949030363182e-09,5.536554361002115e-08,2.1899865819724556e-08,6.71078555163777e-05
