Blue,,Green,,Red,
X,Y,X,Y,X,Y
465.6071554385436,0.6536336277388703,479.701143554553,0.28621998714394115,513.3309445219592,0.02938633350062314
469.1893952905661,0.6567637134374342,480.9774529441985,0.29900538666715293,516.9126324279936,0.03193840909497314
472.76732996388137,0.655385320323131,481.78288932644574,0.30952713303846724,520.4934372204469,0.03356566852258147
476.3429464640465,0.6515792847711301,482.71754414945195,0.32150247735522663,524.0725861749361,0.03345889763754839
479.9181214074212,0.6473108411357582,484.09519345082833,0.3362946429781084,527.6511831834371,0.032774116648301654
481.40128858882713,0.6387368508291471,485.20149559119363,0.34953377276721165,531.2296698027404,0.0319737336382121
482.5857079077209,0.6296633844474873,485.6092364908091,0.3600545379012138,534.8065005840795,0.029439320315481576
483.7706381709007,0.6211249902765855,487.1126821678181,0.3727166388234153,538.3838833114065,0.027482917096964488
484.85641895942814,0.612873704391022,488.21887391898576,0.38584016659167564,541.9622595415123,0.026566932066032223
486.04089504990924,0.6038596904772242,488.9253279873656,0.39682407573703304,545.5415188851989,0.026575763201841962
487.22570230798317,0.5951924826259547,489.95923321229066,0.4086180050446532,549.3350594313548,0.02787325680417385
488.50903455324874,0.5855841893428652,491.2354795223946,0.42133734627024066,552.185265146763,0.034135169459478476
489.693813425529,0.5768872552576647,491.82277949086154,0.4324828038735842,554.3784895525253,0.04403691621650763
490.8777028762741,0.5672588991759597,492.42806553926096,0.441639955780298,556.6021853193026,0.05238224318518803
492.0611760020454,0.5571945583299338,493.6035945852748,0.45449199051610767,558.0998907580354,0.059033039023566714
493.14554380884323,0.5474635665775829,494.85966726951335,0.46839619988904846,560.6299559729264,0.07585933587776705
494.3285848397552,0.5369467263928295,495.44668022606646,0.479241092238201,561.1104249555749,0.08817210755578053
495.5115154814696,0.5263142841872333,496.052098741503,0.4885369665699262,561.7155785369372,0.09719053703748315
496.7940276926957,0.5158472330350262,496.7764285006177,0.4974169679978111,562.4994632681688,0.10596664383220655
498.1074523836748,0.5030462038031986,498.9229341829057,0.5240877340712031,563.1051467176796,0.1155399630139542
498.86090771930867,0.4938384568475749,498.58327888729,0.5154552988171845,563.711227568302,0.12552944947073574
500.34323594281267,0.4843858911825589,500.2262170853795,0.5403302429104095,564.3174408859614,0.13565765835252885
500.8313916932556,0.475000233636768,501.521744708668,0.5583673121389531,564.7444925358808,0.14557734204001438
501.63854278770594,0.46649393643923176,501.0005815368105,0.5480609561187124,565.349977284836,0.15494257758424523
502.7030668220742,0.45680583351847137,502.8126478130705,0.5715614824229057,566.1346237015312,0.16451633832278345
503.41015694249745,0.44763210220560035,503.8491905513244,0.5861174742999473,566.7403071510421,0.1740896575045311
504.4747188245906,0.43798363426341447,505.1263042051239,0.5997451171178705,567.3459906005529,0.18366297668627907
505.1817710972889,0.4287702679719688,505.93185097656885,0.6103824655100277,567.7735721186209,0.19413755007380962
506.24656006573144,0.4193596099012309,506.736459439834,0.6200371967250216,568.5580198347603,0.20350322717483105
506.9533852520804,0.4099084337383372,507.5206091051399,0.6290907483697674,568.9843760327348,0.21269461813100732
508.0179282103111,0.40024014830686416,507.94726335394785,0.638594264782219,569.6499456219553,0.2225108487421218
